oldname,newname
Median_mortgage_repay_monthly,Median Monthly Mortage
Median_tot_prsnl_inc_weekly,Median Ind Income
Median_rent_weekly,Median Weekly Rent
Median_tot_fam_inc_weekly,Median Fam Income
Median_tot_hhd_inc_weekly,Median Hhd Income
Average_household_size,Av Household Size
Aust_Tot_Resp,Australian
Aust_Abor_Tot_Resp,Australian Aboriginal
Chinese_Tot_Resp,Chinese
Croatian_Tot_Resp,Croatian
Dutch_Tot_Resp,Dutch
English_Tot_Resp,English
Filipino_Tot_Resp,Filipino
French_Tot_Resp,French
German_Tot_Resp,German
Greek_Tot_Resp,Greek
Hungarian_Tot_Resp,Hungarian
Indian_Tot_Resp,Indian
Irish_Tot_Resp,Irish
Italian_Tot_Resp,Italian
Korean_Tot_Resp,Korean
Lebanese_Tot_Resp,Lebanese
Macedonian_Tot_Resp,Macedonian
Maltese_Tot_Resp,Maltese
Maori_Tot_Resp,Maori
NZ_Tot_Resp,NZ
Polish_Tot_Resp,Polish
Russian_Tot_Resp,Russian
Scottish_Tot_Resp,Scottish
Serbian_Tot_Resp,Serbian
Sth_African_Tot_Resp,Sth African
Spanish_Tot_Resp,Spanish
Sri_Lankan_Tot_Resp,Sri Lankan
Turkish_Tot_Resp,Turkish
Vietnamese_Tot_Resp,Vietnamese
Welsh_Tot_Resp,Welsh
Other_Tot_Resp,Other
Ancestry_NS_Tot_Resp,Not Stated
Tot_P_Tot_Resp,Ancestry Total
Cats.person,Cats/Person
Dogs.person,Dogs/Person
Caddy.person,Caddies/Person
P_Tot_Volunteer,Volunteer
P_Tot_N_a_volunteer,No Volunteer
P_Tot_Voluntary_work_ns,Afraid to say if volunteer
P_ToT_PD,Postgrad
P_ToT_GD_GC,Grad dip/cert
P_ToT_BD,Bachelor
P_ToT_AdD_D,Diploma
P_ToT_Cert,Certificate
Sme_Usl_ad_1_yr_ago_as_2016_P,Same Address 1 yr
Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Moved Same SA2 1 yr
Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Moved Dif SA2 1 yr
Difnt_Usl_add_1_yr_ago_Tot_P,Moved 1 yr total
Sme_Usl_ad_5_yr_ago_as_2016_P,Same Address 5 yr
Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Moved Same SA2 5 yr
Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Moved Dif SA2 5 yr
Difnt_Usl_add_5_yr_ago_Tot_P,Moved 5 yr total
Age_yr_0_4_F,W0_4
Age_yr_5_9_F,W5_9
Age_yr_10_14_F,W10_14
Age_yr_15_19_F,W15_19
Age_yr_20_24_F,W20_24
Age_yr_25_29_F,W25_29
Age_yr_30_34_F,W30_34
Age_yr_35_39_F,W35_39
Age_yr_40_44_F,W40_44
Age_yr_45_49_F,W45_49
Age_yr_50_54_F,W50_54
Age_yr_55_59_F,W55_59
Age_yr_60_64_F,W60_64
Age_yr_65_69_F,W65_69
Age_yr_70_74_F,W70_74
Age_yr_75_79_F,W75_79
Age_yr_80_84_F,W80_84
Age_yr_85_89_F,W85_89
Age_yr_90_94_F,W90_94
Age_yr_95_99_F,W95_99
Age_yr_100_yr_over_F,W100+
Tot_F,W Total
sa2_9dig2016,SA2_9DIG2016
sa2_name16.x,SA2_NAME2016
70+,Age_70+
H < 799,Household_Income<$700/wk
migr 2006-15,Recent_Migrants
Need Assistance,Need_Assistance
No Yr 12,Did_Not_Graduate_Year_12
No Volunteer,Not_Volunteering
Moved Dif SA2 5 yr,Different_SA2_5_Years_Ago
per100_no_emergency_money_synth,No_Emergency_Money_(Synth)
employment_rate,Percent_Not_Employed
trust_1_3_pc_synth,Low_Trust_In_People_(Synth)
k10_me_2_rate_3_11_7_13,High_Psychological_Distress_(Modeled)
